True_Label,Predicted_Label,Confidence
NORMAL,NORMAL,0.948656493630467
NORMAL,NORMAL,0.9588051376242146
NORMAL,NORMAL,0.8939981843933417
NORMAL,NORMAL,0.9276715294794795
NORMAL,NORMAL,0.9103245527973951
NORMAL,NORMAL,0.9754053646506518
NORMAL,NORMAL,0.8844190619335155
NORMAL,NORMAL,0.8980409446261737
NORMAL,NORMAL,0.9325156835628239
NORMAL,NORMAL,0.8983185539216962
NORMAL,BERAT,0.059109909557283485
NORMAL,NORMAL,0.8941462127287133
NORMAL,NORMAL,0.8922103570777147
NORMAL,NORMAL,0.9075924096763027
NORMAL,NORMAL,0.9201363923920264
NORMAL,BERAT,0.001986268978167072
NORMAL,NORMAL,0.9274585555474932
NORMAL,NORMAL,0.8938218829773728
NORMAL,NORMAL,0.9101997237613247
NORMAL,NORMAL,0.8957926623232805
NORMAL,NORMAL,0.8870813914527693
NORMAL,NORMAL,0.9288250346444347
NORMAL,NORMAL,0.8833439606196192
NORMAL,NORMAL,0.9099550704703337
NORMAL,BERAT,0.016114411316777134
NORMAL,NORMAL,0.8846264755480817
NORMAL,NORMAL,0.990854653871861
NORMAL,NORMAL,0.9538462054716567
NORMAL,NORMAL,0.8989921525400519
NORMAL,NORMAL,0.9172968388732663
NORMAL,NORMAL,0.8930541807210097
NORMAL,NORMAL,0.902479538937867
NORMAL,NORMAL,0.8917409251348943
NORMAL,NORMAL,0.8977068849203849
NORMAL,NORMAL,0.9352208050624812
NORMAL,NORMAL,0.8827293846068486
NORMAL,NORMAL,0.9427828116457626
NORMAL,NORMAL,0.965763457568491
NORMAL,NORMAL,0.8873667684661475
NORMAL,NORMAL,0.8935213834550468
NORMAL,NORMAL,0.8880090733435719
NORMAL,NORMAL,0.9030700166686283
NORMAL,NORMAL,0.8914582361402537
NORMAL,NORMAL,0.8843575787637847
NORMAL,NORMAL,0.935778331992646
NORMAL,NORMAL,0.9038913979329528
NORMAL,NORMAL,0.8846304752127536
NORMAL,NORMAL,0.8871872465714392
NORMAL,NORMAL,0.903037892018265
NORMAL,NORMAL,0.9426208668352469
NORMAL,NORMAL,0.8910217573464414
NORMAL,NORMAL,0.9082463295970937
NORMAL,NORMAL,0.9978628981849416
NORMAL,NORMAL,0.9125745818465649
NORMAL,NORMAL,0.8828874755677143
NORMAL,NORMAL,0.8959572270074624
NORMAL,NORMAL,0.9041984115368265
NORMAL,NORMAL,0.8830116132585908
NORMAL,NORMAL,0.9668944797353589
NORMAL,NORMAL,0.9338405923606543
NORMAL,NORMAL,0.8917172140767178
NORMAL,NORMAL,0.9056291041534817
NORMAL,NORMAL,0.9034946750302748
NORMAL,NORMAL,0.9007518284005989
NORMAL,NORMAL,0.8903983230739774
NORMAL,NORMAL,0.9298138976859295
NORMAL,NORMAL,0.8822017347260418
NORMAL,NORMAL,0.9589623585789953
NORMAL,BERAT,0.08872583796009251
NORMAL,NORMAL,0.8950298309986391
NORMAL,NORMAL,0.9071295701755363
NORMAL,NORMAL,0.8977145506340473
NORMAL,NORMAL,0.8886405708969548
NORMAL,BERAT,0.0628517219440008
NORMAL,NORMAL,0.893307979056438
NORMAL,NORMAL,0.8846847773198301
NORMAL,NORMAL,0.9134373370431079
NORMAL,NORMAL,0.8840062583377974
NORMAL,NORMAL,0.9955579819554248
NORMAL,NORMAL,0.9050460534395395
